1815036350000, 59, 54, 60, 58, 54
1815036410000, 59, 54, 60, 57, 54
1815036460000, 59, 54, 60, 58, 54
1815036510000, 59, 55, 59, 57, 54
1815036560000, 59, 54, 60, 57, 54
1815036610000, 59, 54, 60, 57, 54
1815036670000, 60, 54, 59, 57, 54
1815036720000, 59, 54, 59, 57, 54
1815036770000, 59, 54, 59, 58, 54
1815036820000, 59, 54, 60, 57, 54
1815036860000, 60, 54, 60, 57, 54
1815036920000, 61, 54, 60, 57, 54
1815036980000, 60, 54, 60, 57, 54
1815037050000, 60, 54, 59, 58, 54
1815037110000, 60, 54, 60, 57, 54
1815037170000, 60, 55, 59, 57, 54
1815037220000, 60, 54, 60, 57, 54
1815037270000, 60, 55, 59, 57, 54
1815037320000, 60, 54, 60, 57, 54
